SampleID	Genotype	Microhabitat	Description	Library
HvHEB169	HB86	RHIZO	BC1S3	JH07
HvHEB17	HB91	RHIZO	BC1S3	JH07
HvHEB18	HB91	RHIZO	BC1S3	JH07
HvHEB89	HB94	RHIZO	BC1S3	JH07
HvHEB90	HB94	RHIZO	BC1S3	JH07
HvHEB210	HB97	RHIZO	BC1S3	JH07
HvHEB211	HB97	RHIZO	BC1S3	JH07
HvHEB86	HB98	RHIZO	BC1S3	JH07
HvHEB87	HB98	RHIZO	BC1S3	JH07
HvHEB151	HID144	RHIZO	HID144	JH07
HvHEB152	HID144	RHIZO	HID144	JH07
HvHEB150	HID144	RHIZO	HID144	JH07
HvHEB149	HID144	RHIZO	HID144	JH07
